tag,content
轮回,不必畏惧轮回，认真活好每一刻，就是对生命的尊重。
谦逊,真正修行好的人，会变得谦逊，少烦恼、多平和。
勇气,敢于承认自己的不足，欣赏别人的优点，是至高勇气。
犯错,人可以犯错，不必苛责自己，不重蹈覆辙就好。
自然,该来的总会来，该走的留不住，顺应自然就好。
力量,慈悲心生起时，内心会生出温柔又坚定的力量。
心境,痛苦的地狱不在别处，只在自己不肯放下的执念里。
永恒,世间本无永恒，强求永恒，才是痛苦的源头。
流转,万物都在变化，接受变化，就少了很多焦虑。
境遇,看清因缘无常，就能善用一切境遇，不被境遇困住。
伤害,别人的言语伤不了你，痛的是你心里不肯愈合的伤口。
观念,最大的监狱是自己的观念，走不出执念，到哪都是囚徒。
平和,你若平和，无人可恨；你若不究，无人可扰。
认可,不渴望外界认可，不依赖别人评价，才是真正的自由。
期待,放下不切实际的期待，就少了很多失望与委屈。
心灵,时常清理心灵的尘埃，你会发现内心本就有阳光。
焦虑,你焦虑的一切，只是暂时遮蔽智慧的浮云，终会散去。
享受,佛法从不拒绝美好，而是教我们坦然享受世间温柔。
出离,出离是放下执念，不是悲观厌世，更不是放弃生活。
宁静,心灵的宁静，是放下执着后，自然而来的礼物。
理解,每个人的经历独一无二，不必强求所有人都懂你。
孤独,学会与自己相处，接纳孤独，孤独也会变得温柔。
苦难,苦难是心的投射，心若向阳，便无真正的苦难。
福报,福报是内心的能力，心在自在里，便是有福之人。
完美,不追求世界完美，接纳不完美，才是真正的圆满。
安全感,真正的安全感，从不来自外界，而来自内心的笃定。
富有,灵性的富有，是全然知足，不被匮乏感折磨内心。
专注,训练心的专注，让心变柔顺，就不被杂念扰乱。
发心,改变善良的发心，比强行改变外界更有意义。
依存,世间万物相互依存，没有绝对独立，不必强求。
当下,死亡是一面镜子，让我们懂得珍惜每一个当下。
快乐,给人快乐是慈悲，给自己快乐是智慧，二者都要拥有。
鲜活,修行不是冷漠麻木，而是灵动鲜活、心怀慈爱。
信仰,真正的信仰是先观察再相信，理智的信仰永不退失。
善愿,心怀善愿，不伤害众生，尽力护持美好，就是修行。
念头,守住每一个念头的善良，人生终点也会坦然安宁。
温柔,轮回有残酷也有温柔，认真生活，就是对生命的温柔。
迷梦,人生如迷梦，觉醒过来、珍惜当下，便不负此生。
法则,因果如自然法则，行善不贪功，犯错不恐惧，内心自安。
束缚,自由不是摆脱束缚，而是内心不再被执念束缚。
体谅,多一份体谅，少一份计较，内心就多一份温柔。
我执,放下我执，是解脱一切痛苦、获得宽慰的根本。
过往,不必纠结过去，不必焦虑未来，好好活在当下就好。
治愈,所有的痛苦，最终都能被时间和内心的觉醒治愈。
日常,心怀慈悲，就能在琐碎日常里，看见世间所有温柔。
本自,你苦苦追寻的美好，其实本就藏在自己的内心深处。
释怀,人生所有境遇，都是来渡你的，接纳就好，一切皆安。
