question,answer
有些朋友对现代科技有强烈的信心。谈到佛教的见地和理论时，他们总是问同样的问题——这些能用科学的方法来证明吗？仁波切可否谈谈佛教与科学的关系？,"有一点我们必须知道，当你说“被科学证明”，你总是在说一件有心智参与的事。当你说我们在证明，是有人在向另外的人的心智证明。无论我们研究的是什么，证明或者不证明总是发生在心智的范围内。所以，到头来，是你的心在决定什么是正确的或者不正确的。对于我来讲，宗教和科学同样是迷信。

科学的定义是：“围绕通过观察和实验来进行的关于物理世界和自然世界的结构与行为的系统研究，而进行的智力上的和实用性的活动。”如果是这样的话，佛教徒会非常肯定地说，佛教正是科学——两千五百年以前被教授的，通过对现象的系统研究、实验和观察而进行的科学。

重要的是，人们要知道，大约在爱因斯坦发现时空是相对的之前两千五百年，佛陀已经告诉我们，时空是相对的。在科学世界对万能的造物主提出批评之前两千五百年，佛陀已经告诉我们，没有造物主上帝的存在。

佛教徒相信事物从不随机出现，而是总有着各自的因缘，这也肯定就是所谓当代科学世界的核心方法。我只是想说，在佛教里，关于因和缘的观察比当代科学更加深入、更加内在，因为和当代科学家不同的是，佛教徒的主要兴趣不在对外部现象的强调上。"
有些朋友皈依很长时间了，但是却不太花时间学习和修行，就像生病的人拒绝服药。结果他们对佛法的理解较为局限，对三宝[8]的信心随着时间的流逝逐渐下降。仁波切对他们有什么好的建议吗？,"当然，如果你有时间、精力和资源来学习、修行佛法是非常好的。但是如果没有，那么哪怕只是皈依过一次，也是好的。并且，如果你没有抛弃或者放弃三宝，你的状况还是要比任何其他可能是富裕或者成功的普通人好很多。

[1] 胜义谛：真理分为二谛：世俗谛（Relative Truth）及胜义谛（Ultimate Truth）。世俗谛描述事物显现的相对性真理，胜义谛描述真实无谬的实相的绝对真理。这两个层面的真理在四大哲学流派及金刚乘中有不同的定义，渐进地深入并接近事物的实相。
[2] 缘起（英Interdependent arising / Interdependent origination）：一切现象皆各由其特殊因缘之聚集而生的自然法则。一切现象，皆非无因而显现，亦非由无因之造物主所创造。一切事物均完全依于因缘和合而生；没有因缘，事物是不可能出现的。
[3] 法身（梵Dharmakaya）：字义为“实相之身”（Absolute or Truth Body）。成佛后，证悟的功德显示为佛的三身，即法身（Dharmakaya）、报身（Sambhogakaya）和化身（Nirmanakaya）。此三身不仅相关于我们心识本质的三个面向，也相关于一切现象。我们感知的外在事物为化身，其体性为报身，自性为法身。
[4] 译者注：a skeleton in his closet，英文俚语，意为不可告人的秘密。
[5] 轮回（梵Samsara）：众生在六道中生、死、投生的循环，其性质是痛苦、无常和无明的。轮回也指凡夫被无明、二元分别、业和烦恼遮蔽心性的状态。
[6] 皈依（英Taking Refuge）：佛教修行的基础和入门。皈依是所有戒律的根基，是区分佛教徒与外教的标志。皈依的精髓是为了使自他从对轮回苦痛的恐惧中解脱而接受佛、法、僧三宝为皈依处，并对三宝生起不退的信解。
[7] 戒律（梵Vinaya）：佛陀口传给他的出家众弟子的纪律准则，后来被编入叫做“律藏”的经典。
[8] 三宝（英Three Jewels）：珍贵的佛（Buddha）、法（Dharma）、僧（Sangha）三宝，皈依的对境。"
轮回真的存在吗？,"轮回的意思是“不断地循环往复”。但是究竟是什么在不断地循环往复呢？是无明[1]、行及其结果（根据十二缘起[2]的教法）——每一个创造另外一个。作为结果，轮回以一种既有序又混乱的方式，生动多彩而又痛苦地存在着，仿佛触手可及，就像一场噩梦。事实上，轮回的存在是如此系统，以致我们甚至忘记了它是一个幻觉。轮回就是这样强有力地存在和运转着，所以这不是我们应该开玩笑的事情。

关于十二缘起，请参见问题6。"
佛教中是如何定义“自我”的？,"佛教对“自我”的定义是一个假名安立的概念，在观待五蕴[3]（色、受、想、行、识）之后，把五蕴短暂的聚合称为“自我”。虽然它是假名安立的，但任何人却都不应该掉以轻心，因为正如我前面所说，这个所谓的“自我”是如此完备而系统的假名安立，并且我们是这么习惯于它，以至于我们甚至已经忘记了它是假名安立的。它已然成为一种习性。

就像如果你有嚼酸东西的习惯，当其他人这么做时，即便那种酸的味道不在你的嘴里，你也会立刻流口水。习惯就是这样强有力地运作着。所以佛教认为，自我是相对地存在着——作为一种习性，一种假名安立的概念。"
如果有来世，谁又是我的来世？来世的我还是现在的我吗？,"如果明天我来到你的门前，我们通常认为今天在这里的同一个我明天又来了。正像那样，在相对层面上，我们有所谓的来世。在来世，这个假名安立的自我来了，就像是第二天又来了一样。

现在的“我”只是一个抽象的概念，不是具体的或者实质性的。然而，你真的不能说昨天的我和今天的我是一样的。如果他们全然相同，我们就被同样的“我”卡住无法动弹，就不会有变化，也不可能变化。那样的话，我们就不会成长，也不会经历内在的改变，甚至不会忘记什么，也不会记住什么，也就不用刮胡子、剪头发了。

然而，我们也不能说昨天的我和今天的我是完全不一样的，因为如果他们像奥巴马和奥萨马那样是两个单独的人，那么就好比奥萨马放屁是因为奥巴马吃了太多的豆子那样。事实上，是奥巴马吃了豆子以后自己放屁。这表明过去的我和现在的我之间也有着某些关联。

换句话说，昨天的我和今天的我不是相同的，但也不是不同的。延续感是彻头彻尾的幻觉，然而是一个非常有力量的幻觉。没有它，我们昨天做的事情对今天的我就没有影响。而我们人类确实有习性，于是我们产生这样的一个观念——有一个来自于昨天的我的延续体，它会持续到下一世。这种幻觉强大到让我们紧抓不放，从而成为我们的痛苦、欢乐以及其他所有烦恼的容器。"
但是为什么今天的我记得昨天的我，而来世的我却不会记得前世的生活？,"如果发生了什么猛烈的事，比如天花板掉到你的头上，把你砸成了脑震荡，突然间你可能连自己是谁都不记得了，更不用说昨天或者十年以前发生的事情了。我们中大多数人不记得前世，是因为发生了某种比被天花板砸到还要可怕的事——某种叫做死亡的事，它所导致的震荡大到足以让意识和身体完全分开。

但是即便我们确实记得前世，也还是不能证明前世确实存在，因为我们的记忆来自于意识，所以它只是一种想象。但是同时，即便我们可能不记得我们曾经是谁，以及我们的父母、我们的地址等等，我们还是有很多习惯性的心理障碍以及莫名的熟悉感，它们可能比记忆更加强烈。例如，没有明显的原因，我们却可能在情感上或心理上被某个人所吸引，或者对某人感到厌烦。即使我们不记得自己是谁，这些情感看上去也好像是从过去世带来的。

我有个欧洲朋友，是位时装设计师，他的妻子是如此美丽，其他人都仰慕她而嫉妒他。她美丽的红头发总是干干净净的，手上总是涂着漂亮的指甲油，非常优雅。

但是这个家伙最近遇到一位澳大利亚女士，跟他母亲一样老，也不具备他妻子的任何特质。当她说话时，我总是私下里希望她会使用李施德林（一种口气清新剂）。然而，我这位朋友是如此强烈地被她吸引，并且说有生以来，她是唯一可以让他兴奋的女人。当我问他喜欢她什么，他有几百个理由，但你会发现这些理由都没有逻辑。这种吸引真的只是一种感觉，现在却变成了他头脑里的逻辑。

这种现世的情感事实上比记忆更加强烈，也有着更大的惯性，所以可能影响到我们所谓的来世，虽然那时我们可能不记得自己曾经是谁。"
佛学中关于十二缘起的教授不是很好懂，也很难记住。仁波切可否用通俗一些的话开示轮回过程？,"十二缘起（梵文叫nidhanas），是非常重要同时也非常复杂的教授。它深奥而精妙地展示了因果是如何运转的——一个因如何产生果，然后这个果又如何变成另一个果的因。因果循环的持续就是我们所说的轮回，而因果循环的终止则叫做涅槃[4]。

所以十二缘起提供了非常重要的图解，让我们从根本原因上来着手处理我们所经历的痛苦与问题。简单地表述，当我们看到某个物体，比如说一个橘子，首先我们把橘子看成一个整体，而不是果皮、果汁、果肉、果核等组成部分。并且，我们把橘子看成是一个独立的存在，而不是依存于橘子树、阳光、土壤、采摘者等一系列因缘的存在。在我们的经验中，橘子好像是永恒的实体，而不是一个会腐败发霉，或者会和唾液混合在一起被消化掉，然后变成大小便排出体外的暂时存在的现象。所以，基本上你对于那个叫做橘子的现象有着错误的概念，而那就是产生轮回痛苦的核心错觉。

这一误解导致了十二缘起中的下一支——行支。一旦你有了“橘子是整体的、独立的和永恒的存在”这种错觉，下一支缘起就会生起。那个错觉让你产生诸如渴求橘子、希望得到橘子、害怕得不到橘子等情绪，以及尝试得到橘子的行为。所有这些把你带向橘子的生，橘子的生转而把你带向橘子的死。

当然，这只是表达甚深十二缘起的一种简要而概括的方式。

所以，切断因果之链的策略是，首先分析，失去或者得不到橘子的痛苦从哪里来——来自想要得到橘子的渴望与行为。随着更加深入地分析，我们认识到，这种渴望本身始于一种错觉，即把某种事物看成一个叫做橘子的存在，所以我们尝试着手解决这个错觉。

一旦这个错觉停止，对于橘子的希望和恐惧就不会再生起，渴望和执着之链也随之停止，橘子的生与死也就会停止。于是，一旦你从把橘子认为是真实存在的错觉中解脱出来，就不会再有更多的转世重生。"
关于命运，佛教有什么样的观点？命运可以改变吗？,"命运是一个难以把握的词。如果把命运和因缘诠释成同样的意思，那么当然，佛教相信命运。但是在英文的普遍使用中，“命运”这个词似乎有“超越个人控制”以及“被一种超越人掌控的力量所事先决定”的含义。既是如此，命运当然就和因缘不同，也就不符合佛教的理解。

佛教的见地是这样的：好比扑克游戏，开始时你总是有机会选择不发牌或者不玩牌；然而一旦牌发了，也开始玩了，你就得遵守游戏规则。

另一个例子是，你总是可以选择不去煮蛋，即使开始煮了，你也还是有机会选择不去煮完。但是一旦蛋已经百分之九十九煮好了，就很难让它只煮到百分之五十，因为你已经创造并调动了将会产生结果的某些因、缘和行为。

所以佛教徒不会同意，是某个人或某种超自然的因设计了命运，并且在很早以前就事先确定了结果。事实上，你有能力去拥有你想要的那种命运，取决于你自己。所以可以说，因缘既是自由意志又是命运，但是在这里，命运应该理解为某些我们以前创造的因缘的结果，而不是被我们控制之外的力量所提前决定的。

无明的持续的习性看上去无处不在，感觉几乎像是命运，但事实上并不是。我们感觉那是命运，只因我们拥有某些习性已经很长时间。事实上，被认为是所谓“命运”的一切事物，都是我们通过自己的无明制造的。然后我们忘记自己创造了它，很久以后，我们认为它是不知怎么就随意发生的“命运”，对此我们不会受到责备，也不需要担负责任。"
如果我们可以通过修行来改变所谓的“命运”，那佛教徒应该过一种怎样的生活？,"作为佛教徒，我们根本的、唯一的目标就是了知真理，我们所做的一切无非都是为了接近真理。但我们有种持续的无明的习性，它根深蒂固。很久之前，我们没有选择希求真理或者被真理吸引，而选择在不真实和幻觉中寻找舒适；所以现在，我们变得如此习惯于幻觉，以至于追求真理看上去痛苦、乏味而毫无益处。

这就是为什么，圣人对众生的慈悲是如此深沉而伟大。众生生活的方式是，几乎不做任何能让自己接近真理的事情，反而不遗余力地让自己远离真理，直到感觉被“命运”所左右而在劫难逃。

然而圣人们，凭借伟大的慈悲与智慧，知道这些结果并不是我们自己无法控制的。他们通过言传与身教，尽一切努力为我们指明真理。

我们以为命运就像飞蛾被光吸引而跳进火里，也不知道如何告诉自己和其他人这样会死在火里。所以我们放弃了，认为换种方式生活也毫无意义。但圣人们并没有把我们看成飞蛾，因为他们知道，飞蛾所谓的“命运”是不可避免的，而我们总是可以选择通过训练来断除无明。

可悲的是，我们大多数人不会选择那种严苛而枯燥的训练，因为我们是如此地被各种诱人的娱乐所左右，正如同飞蛾扑火而丢掉性命。"
仁波切，现代科学是否正在改变因果规律？例如，按照佛教的说法，如果我们修行安忍，那么下一世可以变得美丽。如何理解现在做美容就可以改善自己的容貌？如何理解科学家可以通过改变基因而改变生物特征，在这里因果规律是如何起作用的？,"现在科学家能让鼻子大一些、嘴唇小一些、下颌尖一些，这个事实本身就是因果规律的一种作用。所以，假设玛丽莲梦露被认为是终极的美女，并且这样的美女会带来终极的快乐，那么可以说，我们今天有比五十年前更好的因缘，因为今天的整形外科医生更有能力让你看上去像玛丽莲梦露。

另一方面，即使长得和玛丽莲梦露完全一样，也不能保证就会幸福。毕竟，梦露本人患有严重的忧郁症，三十六岁时以“可能是自杀”的方式神秘死去。另外，有的人可能并不认为梦露有多漂亮。即使是最好的整形外科医生，也无法让人们喜欢或者不喜欢某些特定的外貌特征。事实上，人们经常鄙视那些做过整形手术的人，说他们再也不能微笑。

所以美与丑还是取决于观察者，观察的主体，而这非常依赖于因缘。同样，把某种特定的外貌和幸福等同起来，这种不确定性也依赖因缘。

更进一步说，即使整形手术可以改变果，比如让一个人变得更加漂亮，但还是需要做这个手术的因缘来保证手术成功，最好不引起副作用。所以因和缘的规律仍然完全适用，当然没有被科学的进步所替代。

有一次，我在印度的火车站看到一个漂亮的女孩儿，身材高挑、曲线优美、肤色深棕。但她是一个乞丐，右边的脸完全变形。她没有钱买食物，更不用说整形手术了。拿她来说，她没有因缘获得可能会让她成为超模的手术治疗。"
