source_text,translated_text,mindset_tag,source_name
戒者，克制私欲；行者，践行善心。戒在独处，行在处世。独处不放纵，处世不刻薄；少言少怨，少争少贪。戒律约束行为，行为涵养心性。,戒律，是克制自私欲望；践行，是落实善良本心。戒律重在独处自律，修行重在与人相处。一个人的时候不放纵心性，与人相处不刻薄苛刻；少抱怨、少争执、少贪心。用规矩约束行为，用行为涵养内心。,自律修心，独处慎独，减少抱怨争执,龙门心法
威仪不在外表装束，而在心气。心正则气和，气和则态恭。遇人不卑不亢，遇事不惊不慌；言行稳重，神色平和。内里修养到位，外在自然端庄。,庄重气度不在外表穿着，而在心性气质。内心端正则心气平和，心气平和则态度恭谨。待人不自卑也不傲慢，遇事不惊慌失措；言行稳重，神色平和。内在修养足够，外在自然从容端庄。,由内而外沉稳，稳住心气就是稳住状态,龙门心法
弘道不在空谈说教，而在以身示范。自己心性平和，方能感化他人；自己少烦少怨，方能安稳旁人。先正己，后正人；先修心，后劝世。,传播正道不在于空洞讲道理，而在于自身以身作则。自己内心平和，才能安抚别人；自己少烦恼少抱怨，才能宽慰他人。先端正自己，再影响别人；先修好本心，再劝导世事。,修身先正己，不向外说教，以自身安定带动情绪稳定,龙门心法
清净非避世冷清，乃心无杂染。红尘最是炼心之地，热闹最见清净功夫。身处繁杂，心不随浊；身在纷扰，心自清凉。寡欲则清，自省则净。,清净不是逃避人世冷清独处，而是内心没有杂念污染。俗世红尘才是修炼心性的地方，越是热闹繁杂，越考验清净功夫。身处复杂环境，本心不随污浊流转；身在纷扰之中，内心保持清凉。节制欲望就会清明，时常自省就会干净。,全真红尘炼心，闹市守心，欲望少则心静,龙门心法
忍辱非懦弱退让，乃炼心定性。世间委屈、非议、吃亏、不顺，皆是修心之时。受谤不辩，吃亏不怨，逆境不躁。辱能忍，则心能定；心一定，则万事从容。顺境修福，逆境修心。,忍耐委屈不是懦弱退缩，而是磨练心性、稳固本心。世间委屈、非议、吃亏、不顺，全都是修炼心性的时机。被人非议不去争辩，吃亏不心生怨恨，困境之中不焦躁。能承受委屈，内心就能安定；内心安定，万事从容。顺遂时修养福气，逆境时磨练心性。,委屈、逆境 = 修心契机，停止争辩内耗，逆境定心,龙门心法
行善不在张扬，在于存心。善事不论大小，贵在存心宽厚。利己之心少一分，利他之心多一分；计较之心少一分，包容之心多一分。行善即是养心。,行善不在于对外张扬，而在于内心存心。善事不分大小，贵在心地宽厚。自私自利少一点，体谅他人多一点；计较得失少一点，包容宽恕多一点。行善本身就是修养心性。,减少利己计较，宽厚待人，利他养心,龙门心法
满则招忧，谦则纳福。骄傲起于私欲，谦卑生于自知。不夸大功劳，不怨恨他人，不轻视旁人，不执着自我。心越虚，道越近；我越小，烦恼越少。,骄傲自满招来忧患，谦卑低调接纳福气。骄傲来自私心，谦卑来自自知。不夸大自己功劳，不怨恨别人，不轻视他人，不执着自我。内心越放空，越接近本心；自我执念越小，烦恼越少。,我执 = 烦恼根源，谦卑降执念，减少内耗,龙门心法
知止者，知进退、知取舍、知边界。欲望有止，追求有度，思虑有停。凡事过则伤，贪多则累。懂得止步，即是养心；懂得知足，即是安心。,知止，就是懂得进退、取舍、边界。欲望懂得节制，追求懂得分寸，胡思乱想懂得停止。凡事过度就会伤害心性，贪心太多就会身心疲惫。懂得止步就是修养心性，懂得知足就是内心安稳。,节制欲望、懂得知足、守住边界，减少精神疲惫,龙门心法
人心之乱，皆由多欲。欲多则神耗，神耗则心烦，心烦则事乱。寡欲非禁欲绝情，乃节制过分贪求。少贪名利，少恋享乐，少攀比较。欲淡，则心静；心静，则百忧息。,人心混乱焦虑，根源都是欲望太多。欲望多就消耗精神，精神消耗就心烦，心烦则做事混乱。寡欲不是断绝正常情感，而是节制过分贪心。少追逐名利、少沉溺享乐、少攀比执念。欲望清淡，内心就安静；内心安静，所有忧愁自然平息。,焦虑 = 欲望过剩，节制贪求攀比是静心根本,龙门心法
调息者，调呼吸以安心，非刻意炼气。心躁则呼吸粗，心安则气息缓。烦躁之时，放缓呼吸；杂念之时，调匀气息。以气息收心念，以平静调情绪。,调息，是调节呼吸来安定内心，不是刻意修炼气法。内心浮躁呼吸就急促，内心安稳气息就平缓。烦躁焦虑时放缓呼吸，杂念纷飞时调匀呼吸。用呼吸收拢杂念，用平稳调节情绪。,情绪急救：呼吸调节心念，快速平复焦虑,龙门心法
保命者，保养精气神，不耗心神。熬夜多思、暴怒纵欲、忧愁过甚，皆损本心。少思寡虑，平和少怒，作息有度。身安则心定，心定则道长。,保命，是保养精神元气，不消耗心神。过度思虑、暴怒、纵欲、长期忧愁，都会损伤心性根本。减少胡思乱想，保持平和少动怒，作息规律。身体安稳内心就安定，内心安定修行才有根基。,身心一体，内耗伤身，规律平和养护心神,龙门心法
道在平常，不在奇特；道在本心，不在远方。收心、自省、寡欲、谦和、忍辱、安分、入世不染，便是全真大道。王常月一生心法，只八个字：红尘炼心，清静立身。,大道就在日常平凡之中，不在奇异玄妙；大道就在自己本心，不在外界远方。收束杂念、时常自省、节制欲望、谦和低调、承受委屈、安分守己、身在俗世不被污染，就是全真完整大道。王常月一生全部心法，浓缩八个字：红尘炼心，清静立身。,全真终极心法：世俗中修心，平凡中立身,龙门心法
